year,title,url
2015,Towards Biologically Plausible Deep Learning,https://arxiv.org/pdf/1502.04156.pdf
2015,Towards Principled Unsupervised Learning,https://arxiv.org/pdf/1511.06440.pdf
2015,True Online Emphatic TD($λ$): Quick Reference and Implementation Guide,https://arxiv.org/pdf/1507.07147.pdf
2015,Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,https://arxiv.org/pdf/1511.06434.pdf
2015,Visualizing and Understanding Recurrent Networks,https://arxiv.org/pdf/1506.02078.pdf
2014,Convolutional Neural Networks at Constrained Time Cost,https://arxiv.org/pdf/1412.1710.pdf
2014,Deep Fragment Embeddings for Bidirectional Image Sentence Mapping,https://arxiv.org/pdf/1406.5679.pdf
2014,Deep Visual-Semantic Alignments for Generating Image Descriptions,https://arxiv.org/pdf/1412.2306.pdf
2014,Explaining and Harnessing Adversarial Examples,https://arxiv.org/pdf/1412.6572.pdf
2014,Generative Adversarial Networks,https://arxiv.org/pdf/1406.2661.pdf
2014,Going Deeper with Convolutions,https://arxiv.org/pdf/1409.4842.pdf
2014,Grammar as a Foreign Language,https://arxiv.org/pdf/1412.7449.pdf
2014,How Auto-Encoders Could Provide Credit Assignment in Deep Networks via Target Propagation,https://arxiv.org/pdf/1407.7906.pdf
2014,On distinguishability criteria for estimating generative models,https://arxiv.org/pdf/1412.6515.pdf
2014,One weird trick for parallelizing convolutional neural networks,https://arxiv.org/pdf/1404.5997.pdf
2014,Qualitatively characterizing neural network optimization problems,https://arxiv.org/pdf/1412.6544.pdf
2014,"Scalable, High-Quality Object Detection",https://arxiv.org/pdf/1412.1441.pdf
2014,Sequence to Sequence Learning with Neural Networks,https://arxiv.org/pdf/1409.3215.pdf
2014,Show and Tell: A Neural Image Caption Generator,https://arxiv.org/pdf/1411.4555.pdf
2014,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,https://arxiv.org/pdf/1406.4729.pdf
2013,A Constraint Propagation Approach to Probabilistic Reasoning,https://arxiv.org/pdf/1304.3422.pdf
2013,A Probabilistic Calculus of Actions,https://arxiv.org/pdf/1302.6835.pdf
2013,An Empirical Investigation of Catastrophic Forgetting in Gradient-Based Neural Networks,https://arxiv.org/pdf/1312.6211.pdf
2013,Bounding the Test Log-Likelihood of Generative Models,https://arxiv.org/pdf/1311.6184.pdf
2013,Challenges in Representation Learning: A report on three machine learning contests,https://arxiv.org/pdf/1307.0414.pdf
2013,Deep Generative Stochastic Networks Trainable by Backprop,https://arxiv.org/pdf/1306.1091.pdf
2013,Deep Learning of Representations: Looking Forward,https://arxiv.org/pdf/1305.0445.pdf
2013,Direct and Indirect Effects,https://arxiv.org/pdf/1301.2300.pdf
2013,Discovering Multiple Constraints that are Frequently Approximately Satisfied,https://arxiv.org/pdf/1301.2278.pdf
2013,Distributed Revision of Belief Commitment in Multi-Hypothesis Interpretations,https://arxiv.org/pdf/1304.3102.pdf
2013,"Do We Need Higher-Order Probabilities and, If So, What Do They Mean?",https://arxiv.org/pdf/1304.2716.pdf
2013,Estimating or Propagating Gradients Through Stochastic Neurons,https://arxiv.org/pdf/1305.2982.pdf
2013,Estimating or Propagating Gradients Through Stochastic Neurons for Conditional Computation,https://arxiv.org/pdf/1308.3432.pdf
2013,From Conditional Oughts to Qualitative Decision Theory,https://arxiv.org/pdf/1303.1455.pdf
2013,Generalized Denoising Auto-Encoders as Generative Models,https://arxiv.org/pdf/1305.6663.pdf
2013,Identifying Independencies in Causal Graphs with Feedback,https://arxiv.org/pdf/1302.3595.pdf
2013,Intriguing properties of neural networks,https://arxiv.org/pdf/1312.6199.pdf
2013,Joint Training Deep Boltzmann Machines for Classification,https://arxiv.org/pdf/1301.3568.pdf
2013,Maxout Networks,https://arxiv.org/pdf/1302.4389.pdf
2013,Multi-digit Number Recognition from Street View Imagery using Deep Convolutional Neural Networks,https://arxiv.org/pdf/1312.6082.pdf
2013,My First Deep Learning System of 1991 + Deep Learning Timeline 1962-2013,https://arxiv.org/pdf/1312.5548.pdf
2013,On Double 3-Term Arithmetic Progressions,https://arxiv.org/pdf/1304.1829.pdf
2013,On the Testability of Causal Models with Latent and Instrumental Variables,https://arxiv.org/pdf/1302.4976.pdf
2013,PEGASUS: A Policy Search Method for Large MDPs and POMDPs,https://arxiv.org/pdf/1301.3878.pdf
2013,Piecewise Linear Multilayer Perceptrons and Dropout,https://arxiv.org/pdf/1301.5088.pdf
2013,Probabilistic Evaluation of Sequential Plans from Causal Models with Hidden Variables,https://arxiv.org/pdf/1302.4977.pdf
2013,Pylearn2: a machine learning research library,https://arxiv.org/pdf/1308.4214.pdf
2013,Synopsis of the workshop on humor and cognition,https://arxiv.org/pdf/1310.1676.pdf
2013,Why Size Matters: Feature Coding as Nystrom Sampling,https://arxiv.org/pdf/1301.5348.pdf
2012,Advances in Optimizing Recurrent Networks,https://arxiv.org/pdf/1212.0901.pdf
2012,Better Mixing via Deep Representations,https://arxiv.org/pdf/1207.4404.pdf
2012,Compositional Planning Using Optimal Option Models,https://arxiv.org/pdf/1206.6473.pdf
2012,Confounding Equivalence in Causal Inference,https://arxiv.org/pdf/1203.3505.pdf
2012,Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping,https://arxiv.org/pdf/1206.3285.pdf
2012,Evolving Culture vs Local Minima,https://arxiv.org/pdf/1203.2990.pdf
2012,Implicit Density Estimation by Local Moment Matching to Sample from Auto-Encoders,https://arxiv.org/pdf/1207.0057.pdf
2012,Improving neural networks by preventing co-adaptation of feature detectors,https://arxiv.org/pdf/1207.0580.pdf
2012,Joint Training of Deep Boltzmann Machines,https://arxiv.org/pdf/1212.2686.pdf
2012,Large-Scale Feature Learning With Spike-and-Slab Sparse Coding,https://arxiv.org/pdf/1206.6407.pdf
2012,On a Class of Bias-Amplifying Variables that Endanger Effect Estimates,https://arxiv.org/pdf/1203.3503.pdf
2012,On Measurement Bias in Causal Inference,https://arxiv.org/pdf/1203.3504.pdf
2012,On the Convergence of Bound Optimization Algorithms,https://arxiv.org/pdf/1212.2490.pdf
2012,Practical recommendations for gradient-based training of deep architectures,https://arxiv.org/pdf/1206.5533.pdf
2012,Representation Learning: A Review and New Perspectives,https://arxiv.org/pdf/1206.5538.pdf
2012,Robustness of Causal Claims,https://arxiv.org/pdf/1207.4173.pdf
2012,Spike-and-Slab Sparse Coding for Unsupervised Feature Discovery,https://arxiv.org/pdf/1201.3382.pdf
2012,The Do-Calculus Revisited,https://arxiv.org/pdf/1210.4852.pdf
2011,Approximations of additive squares in infinite words,https://arxiv.org/pdf/1108.0739.pdf
2011,Krylov Subspace Descent for Deep Learning,https://arxiv.org/pdf/1111.4259.pdf
2011,POWERPLAY: Training an Increasingly General Problem Solver by Continually Searching for the Simplest Still Unsolvable Problem,https://arxiv.org/pdf/1112.5309.pdf
2011,Unitary N-dilations for tuples of commuting matrices,https://arxiv.org/pdf/1105.2020.pdf
2010,Collaborative Filtering in a Non-Uniform World: Learning with the Weighted Trace Norm,https://arxiv.org/pdf/1002.2780.pdf
2010,Complex matrix model duality,https://arxiv.org/pdf/1009.0674.pdf
2010,Cut-and-join operators and N=4 super Yang-Mills,https://arxiv.org/pdf/1002.2099.pdf
2010,Polynomial inequalities for non-commuting operators,https://arxiv.org/pdf/1004.2157.pdf
2010,UV friendly T-parity in the SU(6)/Sp(6) little Higgs model,https://arxiv.org/pdf/1012.2060.pdf
